preferredLabel	conceptUri	skillType	altLabels	hiddenLabels	description
lede musikalsk personale	http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab	skill/competence			Tildele og forvalte personaleopgaver på områder såsom instrumentering, bearbejdning, reproduktion af musik og stemmetræning.
føre tilsyn med fængselsprocedurer	http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2	skill/competence			Føre tilsyn med driften af et fængsel eller andre fængselsprocedurer, der skal sikre, at de er i overensstemmelse med lovgivningen, og sikre, at personalet overholder reglerne, og som har til formål at forbedre effektiviteten og sikkerheden i institutionen.
anvende antioppressiv praksis	http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828	skill/competence			Identificere undertrykkelse i samfund, økonomier, kulturer og grupper og fungere som en professionel på en ikke-undertrykkende måde, der sætter brugerne i stand til at tage skridt til at forbedre deres liv og sætte borgerne i stand til at ændre deres omgivelser i overensstemmelse med deres egne interesser.
kontrollere overensstemmelse med jernbaneforskrifter	http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35	skill/competence			Inspicere rullende materiel, komponenter og systemer for at sikre overholdelse af standarder og specifikationer.
identificere tilgængelige tjenester	http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc	skill/competence			Identificere de forskellige tjenester, der er til rådighed for en gerningsmand, under prøvetiden med henblik på at bistå i rehabiliterings- og reintegrationsprocesser, og rådgive gerningsmændene om, hvordan de kan identificere de tjenester, de har til rådighed.
udføre toksikologiske studier	http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724	skill/competence			Udføre test til påvisning af giftstoffer eller stofmisbrug og hjælpe til monitorering af behandling ved hjælp af kemiske reagenser, enzymer, radioisotoper og antistoffer med henblik på påvisning af unormale kemiske koncentrationer i kroppen.
sikre ensartede kokiller	http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316	skill/competence			Føre tilsyn med kokiller; anvende støbeformsudstyr og værktøjer, såsom svejsemaskiner.
Haskell	http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02	knowledge			Teknikker og principper for softwareudvikling, såsom analyse, algoritmer, kodning, test og opstilling af programmeringsparadigmer i Haskell.
anvende diplomatiske principper	http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d	skill/competence			Anvende de processer, der indgår i skabelsen af internationale traktater, ved at føre forhandlinger mellem repræsentanter for forskellige lande, beskytte statens interesser og fremme kompromiserne.
lede politiundersøgelser	http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831	skill/competence			Lede undersøgelser i politisager, hvor der etableres en efterforskningsstrategi, kontakte eksperter, være i stand til at anvende forskellige metoder og synspunkter og lede efterforskningsmedarbejdere.
håndtere fiskeriaffald	http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990	skill/competence			Bortskaffelse af affald, blod og fisk af ringere kvalitet i henhold til affaldshåndteringsprocedurer.
udvikle energibesparende koncepter	http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c	skill/competence			Brug af aktuelle forskningsresultater og samarbejde med eksperter for at optimere eller udvikle koncepter, udstyr og produktionsprocesser, der kræver mindre mængde energi, såsom nye isoleringspraksisser og nye materialer.
udføre gadeinterventioner i forbindelse med socialt arbejde	http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3	skill/competence			Gennemføre outreachaktiviteter ved at give direkte information eller rådgivning til enkeltpersoner i deres kvarter eller på gaden, der som regel er rettet mod unge eller hjemløse.
arbejde med solister	http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330	skill/competence			Kommunikere med solo-kunstnere og koncertførere for at drøfte og forberede optrædener.
idrætsmedicin	http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355	knowledge			Forebyggelse og behandling af skader eller lidelser som følge af fysisk aktivitet eller sport.
udføre forskning af flora	http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05	skill/competence			Indsamle og analysere data om planter med henblik på at opdage deres grundlæggende aspekter såsom oprindelse, anatomi og funktion.
installere varmepumpe	http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f	skill/competence			Installere varmepumper, der anvender de fysiske egenskaber af de stoffer, der kaldes kølemidler, til at udvinde varme fra et miljø og frigive den til et varmere miljø, modvirke spontan varmestrøm. Skabe de nødvendige åbninger og installere varmepumpens indendørs og udendørs dele. Tilslutte elektricitet samt alle kanaler og konfigurere varmepumpen.
håndtere udstyr i ophængt tilstand	http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d	skill/competence			Betjene håndholdt udstyr på sikker vis, mens du er i ophængt tilstand. Indtage en sikker og stabil position, inden operationen påbegyndes. Når arbejdet er afsluttet, opbevares udstyret på en sikker måde, sædvanligvis ved at fastgøre det til et bæltespænde.
undervise i husholdning	http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9	skill/competence			Undervise i såvel husholdning som manuelle færdigheder, der har til formål at forbedre dagligdagen og livsbetingelserne.
